name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,d5
dolomite,-2162354,-2325248,154.89,6.432,328.48,-2554.4,-4688500,790380000,0,0,0,-0.107,0,1.423,3.63778,,,,,,,1423,298,-9.42,0,385000,0.01732,5.02E-06,0
"enstatite,clino",-1458601,-1545926,66.325,3.131,139.96,-497,-4400200,535710000,0,0,0,-0.075,4.48E-08,2.1915,0.7492,,,,,,,,,,,,,,
enstatite,-1458181,-1545552,66.17,3.133,166.58,-1200.6,-2270600,279150000,0,0,0,-0.0749,4.47E-08,2.4656,0.7467,,,,,,,,,,,,,,
"enstatite,proto",-1456965,-1543959,67.438,3.242,166.58,-1200.6,-2270600,279150000,0,0,0,-0.075,4.48E-08,1.6832,1.1665,,,,,,,,,,,,,,
fayalite,-1380154,-1479360,150.93,4.63,248.93,-1923.9,0,-139100000,0,0,0,-0.073,0,2.6546,0.79482,,,,,,,,,,,,,,
ferrosilite,-1117472,-1194375,95.882,3.296,169.06,-1193,-2097100,292530000,0,0,0,-0.099,0,3.1808,0.7585,,,,,,,,,,,,,,
forsterite,-2055023,-2174420,94.01,4.366,238.64,-2001.3,0,-116240000,0,0,0,-0.0791,1.351E-07,2.9464,0.88633,,,,,,,,,,,,,,
gehlenite,-3785954,-3988158,198.6,9.033,373.09,-2276.8,-4778500,477910000,0,0,0,-0.0996,2.488E-07,2.4926,0.05664,,,,,,,1600,698,-221.74,0,17291000,0.3695,-0.0001469,0
grossular,-6270974,-6632859,255.15,12.538,573.43,-2039.4,-18887200,2319310000,0,0,0,-0.0654,1.635E-07,1.8994,0.79756,,,,,,,,,,,,,,
hematite,-743681,-825627,87.437,3.027,146.86,0,-5576800,525630000,0,0,0,-0.0479,3.04E-08,3.831,0.0165,955,298,0,-0.07403,0.00027921,1287,,,,,,,,
ilmenite,-1155320,-1231947,108.628,3.17,150,-441.6,-3323700,348150000,0,0,0,-0.0584,1.23E-07,2.7248,0.29968,,,,,,,,,,,,,,
jadeite,-2846482,-3025118,133.574,6.034,311.29,-2005.1,-5350300,662570000,0,0,0,-0.086,2.149E-07,2.3118,0.25785,,,,,,,,,,,,,,
kaolinite,-3799770,-4120327,203.7,9.952,523.23,-4426.7,-2244300,92310000,0,0,0,-0.12,0,3.2,0,,,,,,,,,,,,,,
kyanite,-2443370,-2594220,82.43,4.412,262.68,-2001.4,-1999700,-63180000,0,0,0,-0.0646,0,2.3973,0,,,,,,,,,,,,,,
lawsonite,-4509709,-4865666,229.176,10.144,728.67,-8248.1,0,850560000,0,0,0,-0.0769,1.922E-07,2.6283,0,,,,,,,,,,,,,,
lime,-603350,-635090,37.75,1.676,58.79,-133.9,-1147100,102980000,0,0,0,-0.1022,2.565E-07,3.461,0.67406,,,,,,,,,,,,,,
magnesite,-1029875,-1113636,65.21,2.803,162.3,-1109.3,-4882600,874660000,0,0,0,-0.089,2.212E-07,1.8436,4.15968,,,,,,,,,,,,,,
magnetite,-1014235,-1117403,146.114,4.452,207.93,0,-7243300,664360000,0,0,0,-0.0582,1.751E-07,3.0291,1.3847,848,298,0,-0.19502,0.00061037,1565,,,,,,,,
margarite,-5852244,-6236603,265.084,12.958,699.8,-5587.1,-6807700,734320000,0,0,0,-0.1155,2.886E-07,2.1019,1.24556,,,,,,,,,,,,,,
meionite,-13105915,-13849723,730,34.036,1511.35,-13243.3,0,-751610000,0,0,0,-0.111,0,0.934,0,,,,,,,,,,,,,,
merwinite,-4309707,-4537497,251.777,9.847,453.62,-3250,0,-344230000,0,0,0,-0.0551,1.381E-07,2.9376,0.87235,,,,,,,,,,,,,,
monticellite,-2132222,-2250027,108.3,5.148,226.34,-1542.7,-1179700,-23290000,0,0,0,-0.0904,2E-07,2.7863,0.76339,,,,,,,,,,,,,,
muscovite,-5596723,-5976740,293.157,14.087,651.49,-3873.2,-18523200,2742470000,0,0,0,-0.1717,4.295E-07,3.3527,0,,,,,,,,,,,,,,
paragonite,-5563572,-5944208,277.699,13.216,577.57,-1472.8,-32214400,5050080000,0,0,0,-0.1973,4.933E-07,3.9424,0.59701,,,,,,,,,,,,,,
periclase,-569209,-601500,26.951,1.125,61.11,-296.2,-621200,5840000,0,0,0,-0.0622,1.511E-07,3.7477,0.03556,,,,,,,,,,,,,,
phlogopite,-5827224,-6207342,334.158,14.977,610.38,-2083.8,-21533000,2841040000,0,0,0,-0.1697,0,3.4447,0,,,,,,,,,,,,,,
K-feldspar,-3745415,-3970791,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,1436,298,282.98,-4830,3621000,-0.15733,3.477E-05,410630
"K-feldspar,high",-3738804,-3959704,229.157,10.896,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,,,,,,,,
"K-feldspar,low",-3745415,-3970791,214.145,10.869,381.37,-1941,-12037300,1836430000,0,0,0,-0.1805,5.112E-07,1.5145,0.5485,,,,,,,,,,,,,,
prehnite,-5820154,-6198606,288.634,14.016,716.05,-6404.6,-2182500,268500000,0,0,0,-0.1427,0,0.1468,11.28353,,,,,,,,,,,,,,
pyrope,-5936009,-6286548,266.359,11.316,640.72,-4542.1,-4701900,0,0,0,0,-0.0576,4.42E-08,2.2519,0.37044,,,,,,,,,,,,,,
pyrophyllite,-5266865,-5640781,239.4,12.76,665.93,-5897.4,-4979900,661810000,0,0,0,-0.1354,0,1.2637,3.81661,,,,,,,,,,,,,,
quartz,-856288,-910700,41.46,2.269,80.01,-240.3,-3546700,491570000,0,0,0,-0.2434,1.0137E-06,2.3895,0,848,373,0.0237,-0.09187,0.00024607,0,,,,,,,,
"quartz,beta",-855033,-908627,44.207,2.37,80.01,-240.3,-3546700,491570000,0,0,0,-0.1238,7.087E-07,0,0,,,,,,,,,,,,,,
rutile,-889497,-944750,50.46,1.882,77.84,0,-3367800,402940000,0,0,0,-0.0454,5.84E-08,2.5716,0.15409,,,,,,,,,,,,,,
sillimanite,-2439265,-2586091,95.93,4.983,256.73,-1887.2,-2977400,250960000,0,0,0,-0.0753,0,1.3431,0,,,,,,,,,,,,,,
sphene,-2455134,-2596652,129.29,5.565,234.62,-1040.3,-5118300,591460000,0,0,0,-0.059,0,2.52,0,,,,,,,,,,,,,,
spinel,-2176537,-2300313,84.535,3.977,235.9,-1766.6,-1710400,40620000,0,0,0,-0.0489,0,2.1691,0.50528,,,,,,,,,,,,,,
talc,-5517657,-5897387,261.24,13.61,664.11,-5187.2,-2147200,-327370000,0,0,0,-0.1699,5.665E-07,2.9447,0,,,,,,,,,,,,,,
tremolite,-11578548,-12305578,551.15,27.268,1229.36,-6401.9,-32089900,4208810000,0,0,0,-0.1392,3.481E-07,2.4374,0.98338,,,,,,,,,,,,,,
"tridymite,low",-854026,-907750,43.77,2.675,75.37,0,-5958100,958250000,0,0,0,-0.2508,0,1.9339,0,383,298,0,0.4267,-0.00144575,130,,,,,,,,
"tridymite,high",-853844,-907045,45.524,2.737,75.37,0,-5958100,958250000,0,0,0,-0.074,3.735E-07,0.4829,0,,,,,,,,,,,,,,
wollastonite,-1546123,-1631500,81.81,3.983,149.07,-690.3,-3659300,484350000,0,0,0,-0.1245,3.113E-07,2.818,0,,,,,,,,,,,,,,
pseudowollastonite,-1543085,-1627427,85.279,4.016,141.16,-417.2,-5857600,940740000,0,0,0,-0.1245,3.113E-07,2.818,0,,,,,,,,,,,,,,
zoisite,-6494148,-6889488,297.576,13.588,749.17,-6509.3,-2380500,124860000,0,0,0,-0.0515,1.288E-07,3.467,0,,,,,,,,,,,,,,
clinozoisite,-6496497,-6894968,287.076,13.673,749.17,-6509.3,-2380500,124860000,0,0,0,-0.0515,1.288E-07,3.467,0,,,,,,,,,,,,,,
